;¸½¼Ó±¬ÂÊ£¬¹ÖÌ«ÉÙ¿É´Ó°ÑÕâÀï¼Óµ½MonGen.txtÎÄ¼þÄÚÈÝºóÃæ
´úÂë  x     y     Ãû³Æ          ·¶Î§  ÊýÁ¿  Ê±¼ä
0     340   550   ¶à¹³Ã¨0         50   20      2
0     340   550   Â¹              50   20      2
0     247   565   Â¹              50   20      2
0     330   530   µ¾²ÝÈË0         40   20      2
0     270   625   Â¹              60   20      2
0     270   625   µ¾²ÝÈË0         60   20      2
0     295   625   ¼¦              50   20      5
0     645   625   ¼¦              40   20      5


1     145   60    É­ÁÖÑ©ÈË        80   20      7
1     145   60    É­ÁÖÑ©ÈË        80   20      7
1     302   164   °ëÊÞÈË          150    20       6
1     302   164   °ëÊÞÕ½Ê¿        150    20       6
1     302   164   °ëÊÞÓÂÊ¿        150   30    120
1     302   164   É­ÁÖÑ©ÈË        150    20       6
1     352   382   °ëÊÞÈË          100    20       6
1     352   382   °ëÊÞÕ½Ê¿        100   20    6
1     352   382   °ëÊÞÓÂÊ¿        100   20   120
1     250   230   É­ÁÖÑ©ÈË        230   20    5
1     250   230   °ëÊÞÈË          230   20    6
1     250   230   °ëÊÞÕ½Ê¿        230    20       6
1     250   230   °ëÊÞÓÂÊ¿        230   3    120
1     219   381   °ëÊÞÈË          100   20    6
1     219   381   °ëÊÞÕ½Ê¿        100    20       6
1     219   381   É­ÁÖÑ©ÈË        100   20    5
1     238   511   ¶¾Ö©Öë          80   20      6
1     497   465   ¶¤°ÒÃ¨          50    24    9
1     497   445   ¶à¹³Ã¨          50    34    9
1     250   250   Ê³ÈË»¨          250    20       9
1     250   250   °ëÊÞÈË0         250   30    40
1     250   250   °ëÊÞÕ½Ê¿0       250   30    40
1     250   250   ¶¤°ÒÃ¨0         250   30    40
1     250   250   ¶à¹³Ã¨0         250   30    40


;°ëÊÞÈË¶´Ñ¨1
D001  200   200   Ð«×Ó            400   50    8
D001  200   200   ÷¼÷Ã            400   200    8
D001  200   200   ÷¼÷ÃÕ½Ê¿        400   200   8
D001  200   200   ¶´Çù            200   15    8
D001  200   200   É½¶´òùòð        200   15    8
D001  200   200   É½¶´òùòð        200   15    8
;ÌØÊâ
D001  200   200   ÷¼÷ÃÕ½Ê¿        200   1     20
D001  200   200   ÷¼÷Ã            200   1     20

D001  190   125   Ð«×Ó            30    4     8
D001  250   260   ÷¼÷Ã            30    6     8
D001  250   90    É½¶´òùòð        30    5     8
D001  30    30    É½¶´òùòð        50    8     10

;°ëÊÞÈË¶´Ñ¨2 
D002  200   200   ¶´Çù            200   8     8
D002  200   200   ÷¼÷ÃÕ½Ê¿        200   80    8
D002  200   200   ÖÀ¸«÷¼÷Ã        200   80     8
D002  200   200   ÷¼÷ÃÕ½½«        200   80    8
D002  200   200   ÷¼÷Ã            200   80     8
D002  200   200   É½¶´òùòð        200   3     8     50
D002  200   200   É½¶´òùòð        200   4     8
D002  300   230   É½¶´òùòð        30    2     8
D002  200   200   ÷¼÷Ã¾«Áé        200   1     120
;ÌØÊâ
D002  200   200   ÷¼÷ÃÕ½Ê¿        200   1     20
D002  200   200   ÖÀ¸«÷¼÷Ã        200   1     20
D002  200   200   ÷¼÷ÃÕ½½«        200   1     20
D002  200   200   ÷¼÷Ã            200   1     20


;°ëÊÞÈË¶´Ñ¨3
D003  200   200   ¶´Çù            200   80     8
D003  200   200   ÷¼÷ÃÕ½Ê¿        200   120    8
D003  200   200   ÖÀ¸«÷¼÷Ã        200   80     8
D003  200   200   ÷¼÷ÃÕ½½«        200   120    8
D003  200   200   ÷¼÷Ã            200  60    8
D003  200   200   É½¶´òùòð        200   3     8     50
D003  200   200   É½¶´òùòð        200   4     8
D003  200   200   ÷¼÷Ã¾«Áé        200   2     120
;ÌØÊâ
D003  200   200   ÷¼÷ÃÕ½Ê¿        200   1     10
D003  200   200   ÖÀ¸«÷¼÷Ã        200   1     10
D003  200   200   ÷¼÷ÃÕ½½«        200   1     10
D003  200   200   ÷¼÷Ã            200   1     10
D003  200   200   É½¶´òùòð0       200   1     10

D011  200   200   ÷¼÷Ã            200   60    8
D011  200   200   ÷¼÷ÃÕ½Ê¿        200   60    8
D011  200   200   Ð«×Ó            200   60    8
D011  200   200   É½¶´òùòð        200   30    8     100
D011  200   200   É½¶´òùòð        200   45    8     100
D011  200   200   ¶´Çù            200   10    8
D011  200   200   ÷¼÷ÃÕ½½«        200   80     8
;ÌØÊâ
D011  200   200   ÷¼÷Ã            200   1     20
D011  200   200   ÷¼÷ÃÕ½Ê¿        200   1     20
D011  200   200   É½¶´òùòð0       200   1     20

D022  250   250   ·à³æ            250   12    9
D022  250   250   ÎÖÂêÕ½Ê¿        250   14    9
D022  250   250   ÎÖÂêÓÂÊ¿        250   9     9
D022  250   250   ÎÖÂêÕ½½«        250   9     9
D022  250   250   »ðÑæÎÖÂê        250   6     9
D022  200   200   ÎÖÂêÎÀÊ¿        200   2     120
;ÌØÊâ
D022  250   250   ÎÖÂêÕ½Ê¿0       250   1     10
D022  250   250   ÎÖÂêÓÂÊ¿0       250   1     10
D022  250   250   ÎÖÂêÕ½½«0       250   1     10
D022  250   250   »ðÑæÎÖÂê0       250   1     10
D022  250   250   É½¶´òùòð0       250   1     10
D022  250   250   É½¶´òùòð0       250   1     10


D023  200   200   °µºÚÕ½Ê¿        200   30    9
D023  200   200   ·à³æ            200   10    9
D023  200   200   ÎÖÂêÕ½Ê¿        200   20    9
D023  200   200   ÎÖÂêÓÂÊ¿        200   40    9
D023  200   200   ÎÖÂêÕ½½«        200   40    9
D023  200   200   »ðÑæÎÖÂê        200   20    9
D023  200   200   ÎÖÂêÎÀÊ¿        200   2     120
D023  200   200   É½¶´òùòð        200   5     9     100
D023  200   200   É½¶´òùòð        200   5     9     100
D023  200   200   É½¶´òùòð        200   5     9     100
D023  200   200   É½¶´òùòð        200   10    9
;ÌØÊâ
D023  200   200   °µºÚÕ½Ê¿0       200   1     20
D023  200   200   ÎÖÂêÕ½Ê¿0       200   1     20
D023  200   200   ÎÖÂêÓÂÊ¿0       200   1     20
D023  200   200   ÎÖÂêÕ½½«0       200   1     20
D023  200   200   »ðÑæÎÖÂê0       200   1     20
D023  200   200   É½¶´òùòð0       200   1     20



;ÎÖÂêÈý
D024  40    40    ÎÖÂêÓÂÊ¿        20    6     5     50
D024  40    40    ÎÖÂêÕ½½«        20    6     5     50
D024  40    40    »ðÑæÎÖÂê        20    6     5     50
D024  40    40    °µºÚÕ½Ê¿        20    5     5     50
D024  50    50    ÎÖÂêÓÂÊ¿        20    7     5     50
D024  50    50    ÎÖÂêÕ½½«        20    7     5     50
D024  50    50    »ðÑæÎÖÂê        20    7     5     50
D024  50    50    °µºÚÕ½Ê¿        20    5     5     50
D024  60    60    ÎÖÂêÓÂÊ¿        20    3     5     50
D024  60    60    ÎÖÂêÕ½½«        20    3     5     50
D024  60    60    »ðÑæÎÖÂê        20    3     5     50
D024  60    60    °µºÚÕ½Ê¿        20    5     5     50
D024  40    50    ÎÖÂêÓÂÊ¿        20    3     5
D024  40    50    ÎÖÂêÕ½½«        20    3     5
D024  40    50    »ðÑæÎÖÂê        20    3     5
D024  40    50    °µºÚÕ½Ê¿        20    5     5
D024  50    40    ÎÖÂêÓÂÊ¿        20    3     5
D024  50    40    ÎÖÂêÕ½½«        20    3     5
D024  50    40    »ðÑæÎÖÂê        20    3     5
D024  50    40    °µºÚÕ½Ê¿        20    5     5
D024  60    50    ÎÖÂêÓÂÊ¿        20    3     5
D024  60    50    ÎÖÂêÕ½½«        20    3     5
D024  60    50    »ðÑæÎÖÂê        20    3     5
D024  60    50    °µºÚÕ½Ê¿        20    5     5
D024  50    60    ÎÖÂêÓÂÊ¿        20    3     5
D024  50    60    ÎÖÂêÕ½½«        20    3     5
D024  50    60    »ðÑæÎÖÂê        20    3     5
D024  50    60    °µºÚÕ½Ê¿        20    5     5
D024  83    84    ÎÖÂêÕ½Ê¿        7     5     5
D024  83    84    ÎÖÂêÓÂÊ¿        7     5     5
D024  83    84    »ðÑæÎÖÂê        7     5     5
D024  83    84    °µºÚÕ½Ê¿        7     8     5
D024  20    21    ÎÖÂêÓÂÊ¿        7     5     5
D024  20    21    ÎÖÂêÕ½½«        7     5     5
D024  20    21    »ðÑæÎÖÂê        7     5     5
D024  20    21    °µºÚÕ½Ê¿        7     8     5

;ÌØÊâ
D024  42    49    °µºÚÕ½Ê¿0       30    1     60
D024  42    49    ÎÖÂêÓÂÊ¿0       30    1     60
D024  42    49    ÎÖÂêÕ½½«0       30    1     60
D024  42    49    »ðÑæÎÖÂê0       30    1     60


;ÌØÊâ
2     300   400   ºìÉß            200   100    40
2     300   400   ¶à¹³Ã¨          200   100    40
2     300   400   ¶¤°ÒÃ¨          200   100    40
2     300   400   »¢Éß            200   100    40
2     300   400   °ëÊÞÈË          200   100    40

2     300   400   ºìÉß0           200   4     40
2     300   400   ¶à¹³Ã¨0         200   1     40
2     300   400   ¶¤°ÒÃ¨0         200   1     40
2     300   400   »¢Éß0           200   4     40
2     300   400   °ëÊÞÈË0         200   1     40


D401  100   100   ½©Ê¬2           100   105    10
D401  100   100   ½©Ê¬3           100   105    10
D401  100   100   ¶´Çù            100   45    10

D401  100   100   ½©Ê¬20          100   1     80
D401  100   100   ½©Ê¬30          100   1     80

D402  100   100   ½©Ê¬2           100   105    8
D402  100   100   ½©Ê¬3           100   105    8
D402  100   100   ¶´Çù            100   45    8

D402  100   100   ½©Ê¬20          100   1     80
D402  100   100   ½©Ê¬30          100   1     80

D403  100   100   ½©Ê¬2           100   105    8
D403  100   100   ½©Ê¬3           100   105    8
D403  100   100   ½©Ê¬5           100   45    8

D403  100   100   ½©Ê¬20          100   1     100
D403  100   100   ½©Ê¬30          100   1     100
D403  100   100   ½©Ê¬50          100   1     100

D404  100   100   ½©Ê¬1           100   30    8
D404  100   100   ½©Ê¬3           100   105    8
D404  100   100   ½©Ê¬4           100   75    8
D404  100   100   Ê¬Íõ            100   1     120
D404  100   100   Ê¬Íõ3           100   1     180

D404  100   100   ½©Ê¬10          100   1     100
D404  100   100   ½©Ê¬30          100   1     100
D404  100   100   ½©Ê¬40          100   1     100

D405  100   100   ½©Ê¬1           100   15    8
D405  100   100   ½©Ê¬4           100   75    8
D405  100   100   ½©Ê¬5           100   90    8
D405  100   100   Ê¬Íõ            100   1     120
D405  100   100   Ê¬Íõ3           100   1     180

D405  100   100   ½©Ê¬10          100   1     100
D405  100   100   ½©Ê¬40          100   1     100
D405  100   100   ½©Ê¬50          100   1     100

D406  100   100   ½©Ê¬4           100   75    8
D406  100   100   ½©Ê¬1           100   30    8
D406  100   100   ½©Ê¬5           100   45    8
D406  100   100   ½©Ê¬2           100   30    8
D406  100   100   Ê¬Íõ            100   1     120
D406  100   100   Ê¬Íõ3           100   1     180

D406  100   100   ½©Ê¬40          100   1     100
D406  100   100   ½©Ê¬10          100   1     100
D406  100   100   ½©Ê¬50          100   1     100
D406  100   100   ½©Ê¬20          100   1     100

D411  50    50    ½©Ê¬2           50    40    9
D413  50    50    ½©Ê¬3           50    40    9
D412  50    50    ½©Ê¬4           50    40    9
D416  50    50    ½©Ê¬5           50    40    9
D415  50    50    ½©Ê¬5           50    40    9

D411  50    50    ½©Ê¬20          50    1     60
D413  50    50    ½©Ê¬30          50    1     60
D412  50    50    ½©Ê¬40          50    1     60
D416  50    50    ½©Ê¬50          50    1     60
D415  50    50    ½©Ê¬50          50    1     60



D421  200   200   ½©Ê¬2           180   150   8
D421  200   200   ½©Ê¬3           180   150   8
D421  200   200   ½©Ê¬4           180   150   8
D421  100   100   Ê¬Íõ            100   1     120
D421  100   100   Ê¬Íõ3           100   1     180

D421  200   200   ½©Ê¬20          180   1     100
D421  200   200   ½©Ê¬30          180   1     100
D421  200   200   ½©Ê¬40          180   1     100


D422  200   200   ½©Ê¬1           180   75    8
D422  200   200   ½©Ê¬2           180   75    8
D422  200   200   ½©Ê¬4           180   150   8
D422  200   200   ½©Ê¬5           180   150   8
D422  100   100   Ê¬Íõ            100   1     120
D422  100   100   Ê¬Íõ3           100   1     180

D422  200   200   ½©Ê¬10          180   1     100
D422  200   200   ½©Ê¬20          180   1     100
D422  200   200   ½©Ê¬40          180   1     100
D422  200   200   ½©Ê¬50          180   1     100
3     380   410   Ñò              60    15    6
3     380   290   Ñò              60    10    6
3     160   250   ÁÔÓ¥            30    3     7
3     500   125   ÁÔÓ¥            40    1     7
3     150   230   ¿ø¼×³æ          100   2     7
3     100   390   ÍþË¼¶øÐ¡³æ      50    4     7
3     320   150   ¿ø¼×³æ          100   10    7
3     320   150   ÍþË¼¶øÐ¡³æ      30    2     7
3     416   200   ¿ø¼×³æ          70    12    7
3     583   130   ¿ø¼×³æ          70    15    7
3     500   140   ¶à½Ç³æ          60    0     7
3     666   115   ¶à½Ç³æ          60    15    7
3     500   140   ¾ÞÐÍ¶à½Ç³æ      500   6    60
3     790   100   ÀÇ              50    7     6
3     880   70    ÀÇ              50    5     6
3     880   370   ÀÇ              100   12    6
3     710   500   ¿ø¼×³æ          120   20    7
3     710   625   É³³æ            50    5     7
3     130   590   ÀÇ              100   12    6
3     333   560   ÀÇ              120   15    6
3     450   560   ÀÇ              120   15    6
3     333   560   »¢Éß            150   10    6
3     500   140   ÁÔÓ¥0           500   1     10
3     500   140   ¿ø¼×³æ0         500   1     10
3     500   140   ¶à½Ç³æ0         500   1     10
3     500   140   »¢Éß0           500   1     10


D501  200   200   Ð¨¶ê            100   2     8
D501  100   300   Ð¨¶ê            100   2     8
D501  300   100   Ð¨¶ê            100   2     8
D501  100   100   Ð¨¶ê            100   2     8
D501  300   300   Ð¨¶ê            100   2     8
D501  200   200   ½ÇÓ¬            100   1     8
D501  100   300   Ð¨¶ê            100   2     8
D501  300   100   Ð¨¶ê            100   2     8
D501  100   100   Ð¨¶ê            100   2     8
D501  300   300   Ð¨¶ê            100   2     8
D501  200   200   ´óÀÏÊó          100   8     8
D501  100   660   ´óÀÏÊó          100   8     8
D501  660   100   ´óÀÏÊó          100   8     8
D501  100   100   ´óÀÏÊó          100   8     8
D501  660   660   ´óÀÏÊó          100   8     8
D501  200   200   ´óÀÏÊó0         200   3     20

D502  200   200   ´óÀÏÊó          100   8     8
D502  100   300   ´óÀÏÊó          100   8     8
D502  300   100   ´óÀÏÊó          100   8     8
D502  100   100   ´óÀÏÊó          100   8     8
D502  300   300   ´óÀÏÊó          100   8     8
D502  200   200   ½ÇÓ¬            100   1     8
D502  100   300   Ð¨¶ê            100   3     8
D502  300   100   Ð¨¶ê            100   3     8
D502  100   100   ´óÀÏÊó          100   6     8
D502  300   300   ´óÀÏÊó          100   6     8
D502  200   200   Ð¨¶ê            100   3     8
D502  100   300   Ð¨¶ê            100   3     8
D502  300   100   Ð¨¶ê            100   3     8
D502  100   100   Ð¨¶ê            100   3     8
D502  300   300   Ð¨¶ê            100   3     8
D502  200   200   ´óÀÏÊó0         200   3     20

D503  200   200   ½ÇÓ¬            100   1     8
D503  100   300   ½ÇÓ¬            100   1     8
D503  300   100   Ð¨¶ê            100   8     8
D503  100   100   Ð¨¶ê            100   8     8
D503  300   300   Ð¨¶ê            100   8     8
D503  200   200   ×æÂê¹­¼ýÊÖ      100   10    8
D503  100   300   ×æÂê¹­¼ýÊÖ      100   10    8
D503  300   100   ×æÂê¹­¼ýÊÖ      100   10    8
D503  100   100   ×æÂê¹­¼ýÊÖ      100   10    8
D503  300   300   ×æÂê¹­¼ýÊÖ      100   10    8
D503  200   200   ×æÂêµñÏñ        100   10    8
D503  100   300   ×æÂêµñÏñ        100   10    8
D503  300   100   ×æÂêµñÏñ        100   10    8
D503  100   100   ×æÂêµñÏñ        100   10    8
D503  300   300   ×æÂêµñÏñ        100   10    8
D503  200   200   ×æÂêÎÀÊ¿        100   8     8
D503  100   300   ×æÂêÎÀÊ¿        100   8     8
D503  100   300   ×æÂêÎÀÊ¿10      100   1     60
D503  300   100   ×æÂêÎÀÊ¿        100   8     8
D503  100   100   ×æÂêÎÀÊ¿        100   8     8
D503  300   300   ×æÂêÎÀÊ¿        100   8     8
D503  200   200   Ð¨¶ê            100   10    8
D503  100   300   Ð¨¶ê            100   10    8
D503  300   100   Ð¨¶ê            100   10    8
D503  100   100   Ð¨¶ê            100   10    8
D503  300   300   Ð¨¶ê            100   10    8
D503  200   200   ´óÀÏÊó          200   20    10
D503  200   200   ×æÂê¹­¼ýÊÖ0     200   1     20
D503  200   200   ×æÂêÎÀÊ¿0       200   1     20
D503  200   200   ×æÂêµñÏñ0       200   1     20
D503  200   200   ´óÀÏÊó0         200   1     20
D503  200   200   ×æÂêµñÏñ3       200   10    60
D503  200   200   ×æÂêÎÀÊ¿3       200   10    60
D503  200   200   ×æÂê¹­¼ýÊÖ3     200   10    60

D504  200   200   ×æÂê¹­¼ýÊÖ      180   20    8
D504  200   200   ×æÂêµñÏñ        180   20    8
D504  200   200   ×æÂêÎÀÊ¿        180   20    8
D504  200   200   Ð¨¶ê            180   50    8
D504  200   200   ½ÇÓ¬            100   1     8
D504  100   300   ½ÇÓ¬            100   1     8
D504  300   100   Ð¨¶ê            100   15    8
D504  100   100   Ð¨¶ê            100   15    8
D504  300   300   Ð¨¶ê            100   15    8
D504  200   200   ´óÀÏÊó          200   40    10
D504  200   200   ×æÂê¹­¼ýÊÖ0     200   1     20
D504  200   200   ×æÂêÎÀÊ¿0       200   1     20
D504  200   200   ×æÂêÎÀÊ¿10      200   1     60
D504  200   200   ×æÂêµñÏñ0       200   1     20
D504  200   200   ´óÀÏÊó0         200   1     20
D504  200   200   ×æÂêµñÏñ3       200   10    60
D504  200   200   ×æÂêÎÀÊ¿3       200   10     60
D504  200   200   ×æÂê¹­¼ýÊÖ3     200   10     60

D504  225   175   ×æÂêÎÀÊ¿00      8     1     120   50
D504  225   175   ×æÂêÎÀÊ¿        8     7     120   50
D504  225   175   Ð¨¶ê            8     10    120   50
D504  225   175   ×æÂê¹­¼ýÊÖ      8     8     120   50
D504  225   175   ½ÇÓ¬            8     5     120   50
D504  225   175   ×æÂêµñÏñ        8     10    120   50
D505  100   100   ×æÂê¹­¼ýÊÖ      100   30   10
D505  100   100   ×æÂêµñÏñ        100   30   10
D505  100   100   ×æÂêÎÀÊ¿        100   30   10
D505  100   100   ×æÂêÎÀÊ¿10      100   1     60
D505  100   100   Ð¨¶ê            100   30   10
D505  100   100   ½ÇÓ¬            100   3    10
D505  100   100   ×æÂêµñÏñ3       100   10     60
D505  100   100   ×æÂêÎÀÊ¿3       100   10     60
D505  100   100   ×æÂê¹­¼ýÊÖ3     100   10     60
D505  100   100   ×æÂê¹­¼ýÊÖ0     100   1     20
D505  100   100   ×æÂêÎÀÊ¿0       100   1     20
D505  100   100   ×æÂêµñÏñ0       100   1     20
D505  154   172   ×æÂêÎÀÊ¿00      8     1     30   50
D505  154   172   ×æÂêÎÀÊ¿        8     7     30   50
D505  154   172   ×æÂêÎÀÊ¿3       8     7     1     50
D505  154   172   Ð¨¶ê            8     8     30   50
D505  154   172   ×æÂê¹­¼ýÊÖ      8     8     30   50
D505  154   172   ½ÇÓ¬            8     2     30   50
D505  154   172   ×æÂêµñÏñ        8     8     30   50

D5061 11    13    ×æÂêµñÏñ        2     1     3
D5061 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 11    13    ×æÂêÎÀÊ¿        2     1     3
D5061 11    13    Ð¨¶ê            2     12     5
D5061 11    13    ½ÇÓ¬            2     1     5
D5061 37    13    ×æÂêµñÏñ        2     1     3
D5061 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 37    13    ×æÂêÎÀÊ¿        2     1     3
D5061 37    13    Ð¨¶ê            2     12     5
D5061 37    13    Ð¨¶ê            2     1     5
D5061 63    13    ×æÂêµñÏñ        2     1     3
D5061 63    13    ×æÂêÎÀÊ¿        2     1     3
D5061 63    13    Ð¨¶ê            2     2     5
D5061 63    13    Ð¨¶ê            2     5     5
D5061 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 88    14    ×æÂêµñÏñ        2     1     3
D5061 88    14    ×æÂêÎÀÊ¿        2     1     3
D5061 88    14    Ð¨¶ê            2     2     5
D5061 88    14    Ð¨¶ê            2     8     5
D5061 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 11    41    ×æÂêµñÏñ        2     1     3
D5061 11    41    ×æÂêÎÀÊ¿        2     1     3
D5061 11    41    ×æÂêÎÀÊ¿10      2     1     45
D5061 11    41    Ð¨¶ê            2     2     5
D5061 11    41    Ð¨¶ê            2     6     5
D5061 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 37    41    ×æÂêÎÀÊ¿        2     1     3
D5061 37    41    ×æÂêµñÏñ        2     1     3
D5061 37    41    Ð¨¶ê            2     2     5
D5061 37    41    ½ÇÓ¬            2     1     5
D5061 37    41    ×æÂêÎÀÊ¿        2     1     3
D5061 63    41    ×æÂêµñÏñ        2     1     3
D5061 63    41    Ð¨¶ê            2     2     5
D5061 63    41    Ð¨¶ê            2     1     5
D5061 63    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 63    41    ×æÂêÎÀÊ¿        2     1     3
D5061 89    41    ×æÂêµñÏñ        2     1     3
D5061 89    41    ×æÂêÎÀÊ¿        2     1     3
D5061 89    41    Ð¨¶ê            2     2     5
D5061 89    41    Ð¨¶ê            2     1     5
D5061 89    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 12    74    ×æÂêµñÏñ        2     1     3
D5061 12    74    ×æÂêÎÀÊ¿        2     1     3
D5061 12    74    Ð¨¶ê            2     2     5
D5061 12    74    Ð¨¶ê            2     1     5
D5061 12    74    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 37    73    ×æÂêµñÏñ        2     1     3
D5061 37    73    ×æÂêÎÀÊ¿        2     1     3
D5061 37    73    Ð¨¶ê            2     2     5
D5061 37    73    Ð¨¶ê            2     1     5
D5061 37    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 63    73    ×æÂêµñÏñ        2     1     3
D5061 63    73    ×æÂêÎÀÊ¿        2     1     3
D5061 63    73    Ð¨¶ê            2     2     5
D5061 63    73    ½ÇÓ¬            2     1     5
D5061 63    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 87    73    ×æÂêµñÏñ        2     1     3
D5061 87    73    ×æÂêÎÀÊ¿        2     1     3
D5061 87    73    Ð¨¶ê            2     2     5
D5061 87    73    Ð¨¶ê            2     1     5
D5061 87    73    ×æÂê¹­¼ýÊÖ      2     1     3
D5061 50    50    ×æÂêµñÏñ0       50    1     120
D5061 50    50    ×æÂêÎÀÊ¿0       50    1     120
D5061 50    50    ×æÂê¹­¼ýÊÖ0     50    1     120

D5062 11    13    ×æÂêµñÏñ        2     1     3
D5062 11    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 11    13    ×æÂêÎÀÊ¿        2     1     3
D5062 11    13    Ð¨¶ê            2     2     5
D5062 11    13    ½ÇÓ¬            2     1     5
D5062 37    13    ×æÂêµñÏñ        2     1     3
D5062 37    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 37    13    ×æÂêÎÀÊ¿        2     1     3
D5062 37    13    Ð¨¶ê            2     2     5
D5062 37    13    Ð¨¶ê            2     8     5
D5062 63    13    ×æÂêµñÏñ        2     1     3
D5062 63    13    ×æÂêÎÀÊ¿        2     1     3
D5062 63    13    Ð¨¶ê            2     2     5
D5062 63    13    Ð¨¶ê            2     2     5
D5062 63    13    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 88    14    ×æÂêµñÏñ        2     1     3
D5062 88    14    ×æÂêÎÀÊ¿        2     1     3
D5062 88    14    Ð¨¶ê            2     2     5
D5062 88    14    Ð¨¶ê            2     6     5
D5062 88    14    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 11    41    ×æÂêµñÏñ        2     1     3
D5062 11    41    ×æÂêÎÀÊ¿        2     1     3
D5062 11    41    ×æÂêÎÀÊ¿10      2     1     45
D5062 11    41    Ð¨¶ê            2     2     5
D5062 11    41    ½ÇÓ¬            2     1     5
D5062 11    41    ×æÂê¹­¼ýÊÖ      2     1     3
D5062 37    41    ×æÂêÎÀÊ¿        2     1     3
D5062 37    41    ×æÂêµñÏñ        2     1     3
D5062 37    41    Ð¨¶ê            2     2     5
D5062 37    41    Ð¨¶ê            2     1     5
D5062 37    41    ×æÂêÎÀÊ¿        2     1     3
D5062 63    41    ×æÂêÎÀÊ¿        2     1     3
